,ADANIPORTS_Volume,ADANIPORTS_Close,ASIANPAINT_Volume,ASIANPAINT_Close,AXISBANK_Volume,AXISBANK_Close,BAJAJ_AUTO_Volume,BAJAJ_AUTO_Close,BAJFINANCE_Volume,BAJFINANCE_Close,BAJAJFINSV_Volume,BAJAJFINSV_Close,BHARTIARTL_Volume,BHARTIARTL_Close,BPCL_Volume,BPCL_Close,BRITANNIA_Volume,BRITANNIA_Close,CIPLA_Volume,CIPLA_Close,COALINDIA_Volume,COALINDIA_Close,DIVISLAB_Volume,DIVISLAB_Close,DRREDDY_Volume,DRREDDY_Close,EICHERMOT_Volume,EICHERMOT_Close,GRASIM_Volume,GRASIM_Close,HCLTECH_Volume,HCLTECH_Close,HDFC_Volume,HDFC_Close,HDFCBANK_Volume,HDFCBANK_Close,HDFCLIFE_Volume,HDFCLIFE_Close,HEROMOTOCO_Volume,HEROMOTOCO_Close,HINDALCO_Volume,HINDALCO_Close,HINDUNILVR_Volume,HINDUNILVR_Close,ICICIBANK_Volume,ICICIBANK_Close,INDUSINDBK_Volume,INDUSINDBK_Close,INFY_Volume,INFY_Close,IOC_Volume,IOC_Close,ITC_Volume,ITC_Close,JSWSTEEL_Volume,JSWSTEEL_Close,KOTAKBANK_Volume,KOTAKBANK_Close,LT_Volume,LT_Close,MM_Volume,MM_Close,MARUTI_Volume,MARUTI_Close,NESTLEIND_Volume,NESTLEIND_Close,NTPC_Volume,NTPC_Close,ONGC_Volume,ONGC_Close,POWERGRID_Volume,POWERGRID_Close,RELIANCE_Volume,RELIANCE_Close,SBIN_Volume,SBIN_Close,SBILIFE_Volume,SBILIFE_Close,SHREECEM_Volume,SHREECEM_Close,SUNPHARMA_Volume,SUNPHARMA_Close,TATAMOTORS_Volume,TATAMOTORS_Close,TATASTEEL_Volume,TATASTEEL_Close,TCS_Volume,TCS_Close,TECHM_Volume,TECHM_Close,TITAN_Volume,TITAN_Close,ULTRACEMCO_Volume,ULTRACEMCO_Close,UPL_Volume,UPL_Close,WIPRO_Volume,WIPRO_Close,NIFTY_50_Volume,NIFTY_50_Close,Label
223,2049167.0,308.15,1245311.0,809.95,8160665.0,556.25,579513.0,2017.85,35210.0,4020.5,785973.0,1379.8,6540065.0,380.25,964941.0,727.05,557787.0,2133.45,1874430.0,699.8,2118984.0,368.25,161556.0,1806.3,307930.0,3426.6,33878.0,16017.5,54011.0,3615.45,3135554.0,979.9,3871319.0,1338.45,1620809.0,1055.9,1014252.0,373.25,307523.0,2609.95,4836454.0,132.05,1854369.0,895.75,21262976.0,318.6,751604.0,886.35,1607724.0,2257.45,688411.0,344.1,7048608.0,327.45,773380.0,920.95,794887.0,1339.7,1685674.0,1670.35,1572027.0,1165.3,206403.0,3623.85,27446.0,7264.1,17171691.0,145.5,3195868.0,311.35,2117068.0,148.2,2378572.0,854.1,11482652.0,278.25,136148.0,660.85,51853.0,11037.85,2371025.0,1026.65,5065418.0,547.6,5776131.0,328.7,981954.0,2610.95,3616042.0,678.3,461698.0,392.7,284773.0,2855.05,2324985.0,417.3,2257073.0,652.65,179982752.0,8570.9,0
224,1387396.0,303.85,759196.0,811.6,4191424.0,555.2,420806.0,2031.75,45459.0,3993.0,55362.0,1335.3,3196617.0,383.25,711185.0,715.4,50567.0,2102.7,825791.0,701.3,2544068.0,369.0,96855.0,1804.05,189693.0,3458.65,18825.0,15865.95,48333.0,3629.75,1948568.0,968.4,1772832.0,1345.7,1361685.0,1047.75,799151.0,368.85,202857.0,2637.1,6306085.0,135.9,989354.0,902.4,10470026.0,313.8,955973.0,888.35,1269675.0,2233.45,269610.0,341.95,7595698.0,327.4,648797.0,918.2,467600.0,1335.85,1121588.0,1672.85,1235061.0,1185.5,192986.0,3594.4,23625.0,7133.9,7423310.0,150.15,3059875.0,314.4,2390266.0,149.2,3029112.0,841.95,13058026.0,274.75,105281.0,660.4,23920.0,10796.85,1972135.0,1024.25,3120391.0,551.45,3580330.0,331.4,783304.0,2617.15,3672301.0,656.8,498876.0,390.85,213023.0,2829.0,1140061.0,419.8,1149989.0,645.1,155425780.0,8550.9,1
225,2447607.0,307.1,755974.0,813.3,6309451.0,558.05,1002496.0,2028.0,22091.0,3968.05,60042.0,1341.35,7301973.0,393.85,2070866.0,740.8,103673.0,2148.75,976875.0,710.25,1960112.0,370.05,90319.0,1820.3,522455.0,3511.45,33307.0,15501.1,58310.0,3593.4,2649348.0,970.35,4545753.0,1358.85,2243391.0,1037.95,1559187.0,376.25,514291.0,2605.1,4386125.0,132.85,1288989.0,887.2,16554135.0,311.9,704010.0,884.85,1684133.0,2211.45,540688.0,347.25,7143657.0,326.55,651891.0,902.55,324316.0,1340.75,1395832.0,1672.15,1018767.0,1192.05,227226.0,3587.3,26775.0,7021.65,6418011.0,152.7,2509703.0,313.4,2908638.0,147.95,2111750.0,847.95,17585259.0,270.55,164292.0,658.25,9937.0,10586.4,2573597.0,1037.15,4471090.0,532.25,4453740.0,327.15,1197439.0,2591.3,3793847.0,659.65,408226.0,387.25,389917.0,2801.5,725735.0,414.45,1314563.0,652.25,161465466.0,8542.95,1
226,2456872.0,314.75,834390.0,808.5,5578540.0,562.2,722561.0,2016.85,22256.0,3948.2,152832.0,1374.85,10251492.0,395.0,1436088.0,748.7,125959.0,2161.35,1175071.0,711.45,1851588.0,361.8,104614.0,1799.9,393983.0,3510.6,45118.0,15572.8,92771.0,3570.4,3759287.0,1007.15,3628829.0,1354.55,2652225.0,1034.25,837452.0,371.4,401570.0,2595.75,2895061.0,132.9,2848966.0,886.4,13735687.0,316.9,715430.0,871.05,1542742.0,2219.1,585546.0,351.85,4833171.0,326.75,655333.0,909.85,368787.0,1326.55,1682841.0,1632.75,747569.0,1210.35,201854.0,3614.75,27132.0,7041.8,15931009.0,147.35,2759737.0,309.65,3379593.0,146.5,2346393.0,844.9,15824629.0,265.4,215118.0,669.3,17323.0,11067.35,4242685.0,1052.05,8533721.0,541.85,3544781.0,323.15,1112429.0,2573.75,3053431.0,656.35,636108.0,390.45,389212.0,2766.0,959717.0,419.95,1098652.0,661.1,165952155.0,8530.8,1
227,3406327.0,304.2,1516627.0,793.1,9233047.0,544.3,1046160.0,2004.3,20055.0,3956.55,64692.0,1379.2,11406895.0,399.65,2739537.0,762.3,155962.0,2193.8,2634979.0,700.95,3834991.0,352.3,108600.0,1806.0,537319.0,3445.7,141418.0,15538.2,179472.0,3549.15,3524064.0,987.4,6239936.0,1283.7,8950155.0,1006.95,711888.0,369.7,715178.0,2603.75,7955596.0,129.55,2570353.0,865.9,31792466.0,307.95,2107203.0,860.35,3935210.0,2146.35,1169999.0,349.55,16128731.0,322.4,965428.0,884.85,1996369.0,1305.4,3488192.0,1634.45,2690314.0,1201.1,489101.0,3561.45,42361.0,6845.2,21961628.0,144.0,7905361.0,301.6,6664849.0,145.1,4713693.0,829.3,22253318.0,256.65,325212.0,664.2,22107.0,11066.4,2974909.0,1027.7,6475129.0,524.25,6516994.0,315.6,1545821.0,2513.1,3774322.0,651.15,1419196.0,389.75,433234.0,2795.8,1694828.0,426.85,2292616.0,631.9,288758332.0,8342.15,1
228,3371344.0,305.0,1557785.0,778.15,10655577.0,546.4,439910.0,2016.9,14884.0,3961.65,69755.0,1356.35,8433322.0,376.5,1756690.0,749.6,175022.0,2154.0,2072818.0,694.0,2344094.0,348.0,70132.0,1794.25,243912.0,3415.4,39800.0,15490.75,55709.0,3568.95,2140165.0,962.85,3115046.0,1262.7,2710224.0,1014.65,503122.0,365.7,584370.0,2576.15,5241353.0,133.95,2023538.0,851.3,15803564.0,314.55,1088061.0,880.75,2518555.0,2202.15,625549.0,346.5,14268835.0,317.5,564921.0,911.9,488569.0,1299.15,3183228.0,1677.75,790453.0,1188.5,204071.0,3610.05,26243.0,6815.05,4464698.0,145.6,3927963.0,304.95,1957037.0,144.75,5332142.0,811.7,19423101.0,263.6,121399.0,672.4,20124.0,10907.05,1999967.0,1011.2,4671141.0,535.35,4019204.0,315.1,1375888.0,2514.8,3223159.0,645.9,670005.0,392.85,267173.0,2801.85,2625045.0,435.25,2559929.0,612.15,198979321.0,8341.4,1
229,3039118.0,308.55,847421.0,807.45,6631597.0,563.55,235638.0,2028.0,24345.0,3999.65,52910.0,1399.45,4656455.0,389.4,1200641.0,769.3,154249.0,2162.15,1612745.0,702.2,2451097.0,359.3,69032.0,1810.05,281925.0,3425.3,38394.0,16018.9,80872.0,3631.1,1637532.0,980.45,2242522.0,1306.2,1738786.0,1036.9,838685.0,359.95,281366.0,2644.3,3651285.0,131.15,1415143.0,862.05,12854659.0,318.7,411951.0,887.95,1155772.0,2228.0,492154.0,354.5,11011178.0,327.55,525643.0,912.0,851656.0,1311.85,2239339.0,1728.75,690633.0,1200.3,152167.0,3660.95,45193.0,6944.0,4132541.0,147.6,4401179.0,315.2,2452222.0,145.0,3961481.0,810.75,12303870.0,267.9,88542.0,666.95,10151.0,10752.4,1613058.0,1010.8,3969941.0,540.0,2990579.0,322.4,669503.0,2564.15,3887546.0,626.95,420532.0,391.35,340546.0,2944.05,1485677.0,440.6,1277713.0,623.4,142061290.0,8492.3,1
230,2590770.0,308.2,947718.0,811.3,5970862.0,560.2,263684.0,2016.6,37701.0,4108.45,98529.0,1414.55,6047311.0,393.3,2621292.0,810.8,94462.0,2158.55,2267378.0,712.45,3477225.0,362.9,196272.0,1785.45,280091.0,3488.75,38680.0,15908.15,85230.0,3622.35,1863338.0,980.4,2877703.0,1315.7,1490564.0,1022.7,2217572.0,364.75,493733.0,2639.8,8516432.0,129.0,1503993.0,873.55,13016081.0,315.5,583298.0,886.0,2004103.0,2218.35,2317136.0,368.65,8186377.0,325.85,686799.0,906.55,382251.0,1313.25,1875722.0,1719.65,811454.0,1187.8,294635.0,3697.35,64200.0,6947.35,6997714.0,146.85,4568895.0,306.35,2698848.0,145.25,4625471.0,826.0,19482636.0,267.05,82766.0,664.85,24882.0,10793.8,1939047.0,1023.9,5352135.0,550.2,3934898.0,316.75,1213514.0,2553.95,3125329.0,629.7,438421.0,391.6,465222.0,2877.9,2623854.0,442.15,1689533.0,628.85,177059509.0,8491.0,1
231,1026200.0,310.95,898480.0,821.7,3753262.0,569.65,208545.0,2019.8,12923.0,4140.05,44811.0,1427.55,5494883.0,402.3,1065969.0,804.2,245908.0,2177.55,1693796.0,709.6,1428949.0,363.0,68003.0,1802.35,282785.0,3533.65,45879.0,16019.5,41115.0,3694.05,4140584.0,940.85,1492126.0,1337.05,961049.0,1033.25,527295.0,359.85,375681.0,2655.85,7180617.0,132.2,865861.0,883.5,8355300.0,323.15,954252.0,925.25,1684622.0,2173.95,846543.0,370.6,7226519.0,332.45,692289.0,909.65,482614.0,1361.05,1000220.0,1734.25,689971.0,1202.1,694487.0,3644.7,13749.0,6923.15,3038207.0,147.75,2214377.0,306.45,1579544.0,146.45,3334693.0,836.05,12383589.0,273.45,169872.0,669.4,34015.0,10878.2,4104961.0,1081.15,4177702.0,564.9,3086061.0,323.65,1037879.0,2542.65,4892589.0,632.7,452828.0,390.4,371347.0,2883.7,1263388.0,440.7,1191542.0,633.2,136312446.0,8586.25,1
232,2039045.0,321.25,687263.0,824.5,4305263.0,569.05,281023.0,2036.4,12749.0,4240.85,29528.0,1426.6,4348717.0,400.8,852662.0,802.1,158584.0,2216.7,2457940.0,735.65,1248881.0,360.75,216209.0,1877.25,436764.0,3677.85,65313.0,15782.45,29452.0,3698.1,3864374.0,932.05,2076100.0,1330.6,1787793.0,1031.95,1787348.0,359.8,365024.0,2672.7,5542921.0,134.7,1482378.0,907.95,9557069.0,321.25,573759.0,914.95,1935438.0,2178.2,630017.0,374.0,12877285.0,341.0,437465.0,900.8,1107901.0,1397.6,1821386.0,1757.9,906887.0,1242.65,262771.0,3628.95,24913.0,7121.35,3393269.0,152.1,3704302.0,317.25,2989940.0,147.95,2819367.0,824.65,12925445.0,274.65,139910.0,679.05,6372.0,10865.45,4805720.0,1169.3,5728358.0,568.15,3669674.0,318.1,784271.0,2547.3,5050758.0,643.35,904638.0,403.6,137119.0,2892.55,1888769.0,450.3,1476030.0,621.15,150877855.0,8659.9,1
